car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,longitude,latitude,nearest_charger_distance_m,nearest_charger_idx,gap_category,index_right,area_name,priority_score,area_gap_rate,road_distance_m,nearest_charger_road_idx,road_path_coords
HG3A,BLK 997 BUANGKOK CRESCENT,33282.6779,40818.5609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,103.88078745980043,1.385422602428171,0.004470284560380914,1861,Excellent,18,Zone 19,20.0,0.0,,,
HG3B,BLK 991 BUANGKOK LINK,33375.828,40694.4027,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,103.88162446141324,1.3842997435333646,0.006457197401336396,2577,Excellent,18,Zone 19,10.0,0.0,,,
HG3C,BLK 996 BUANGKOK CRESCENT,33418.229,40968.2736,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,15,2.15,N,103.88200551694186,1.3867765250799968,0.0033595294887716984,9,Excellent,18,Zone 19,21.43,0.0,,,
HG3D,BLK 998 BUANGKOK CRESCENT,33158.7215,40684.5984,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,103.87967359393343,1.3842111161564574,0.0019156246275726803,1056,Excellent,18,Zone 19,15.71,0.0,,,
HG3E,BLK 993 BUANGKOK LINK,33602.1418,40785.1834,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,103.88365807896534,1.3851206887907679,0.0026456775886850663,1092,Excellent,18,Zone 19,18.57,0.0,,,
HG3L,"BLK 993A-993B, 994A-994C, 995A-995D, BUANGKOK CRESCENT/BUANGKOK LINK",33373.4677,40905.5905,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,103.88160329098604,1.3862096500795642,77.15026419238225,9,Excellent,18,Zone 19,3.93,0.0,237.9,9.0,"[(1.3843432, 103.8831092), (1.3843105, 103.8834426), (1.3853653, 103.8843627), (1.385751, 103.8842983)]"
HG30,BLK 464-468 HOUGANG AVENUE 10,35083.1678,39473.6275,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,2.9,N,103.89696590280194,1.3732591319490572,0.0035599572835660577,2216,Excellent,17,Zone 18,0.0,0.0,,,
HG31,BLK 414-416 HOUGANG AVENUE 10,35031.5866,39712.0645,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.89650246570697,1.375415481994406,0.004299316553912303,2666,Excellent,17,Zone 18,0.0,0.0,,,
HG32,BLK 601-608 HOUGANG AVENUE 4,33869.4973,39265.7089,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.88606016836792,1.371379058329617,0.005807124450328857,121,Excellent,17,Zone 18,0.0,0.0,,,
HG33,BLK 609-621 HOUGANG AVENUE 8,33681.9766,39065.4219,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.88437512420153,1.3695677717165766,0.004131923233752894,103,Excellent,17,Zone 18,0.0,0.0,,,
HG34,BLK 622-632 HOUGANG AVENUE 8,33362.3594,39106.8477,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.88150314764592,1.3699424715384199,0.00616044448772377,1211,Excellent,17,Zone 18,0.0,0.0,,,
HG35,"BLK 701-702,707-710 HOUGANG AVENUE 2",34192.6367,38725.0781,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.88896369112064,1.366489722596988,0.0026949626237252567,265,Excellent,17,Zone 18,0.0,0.0,,,
HG36,"BLK 703-706,711-712 HOUGANG AVENUE 2",34041.3045,38684.032,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.88760385900282,1.3661185477855309,0.006988792754831979,287,Excellent,17,Zone 18,0.0,0.0,,,
HG37,BLKS 501-507 HOUGANG AVENUE 8,34015.3359,39445.9023,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.88737066764303,1.3730086329161062,0.005123397558192221,1351,Excellent,17,Zone 18,0.0,0.0,,,
HG38,"BLK 508-517,520-533 HOUGANG AVENUE 10",34340.7388,39488.4518,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.89029465324634,1.3733933668933251,0.006359007966722331,294,Excellent,17,Zone 18,0.0,0.0,,,
HG39,HOUGANG SPORTS COMPLEX,33859.2191,39106.9608,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.88596778014345,1.369943399871844,0.0022041237640957525,2371,Excellent,17,Zone 18,0.0,0.0,,,
HG4,BLK 19-23 HOUGANG AVENUE 3,34417.4102,38475.2617,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,103.8909833815686,1.3642304254367996,0.003486790811672983,302,Excellent,17,Zone 18,0.0,0.0,,,
HG41,BLK 633-642 & 647-648 HOUGANG AVENUE 8,33122.7539,39254.3111,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.87935014972331,1.3712761200039465,0.005949191606416274,104,Excellent,17,Zone 18,0.0,0.0,,,
HG42,BLK 643-646/649-662/665-667 HOUGANG AVENUE 8,33575.4429,39573.3197,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.8834179399384,1.3741610365120855,0.006006534137719069,1248,Excellent,17,Zone 18,0.0,0.0,,,
HG43,BLK 668-680 HOUGANG AVENUE 8,33674.0721,39346.8732,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,103.88430415056742,1.3721131172452155,0.005811332907273192,274,Excellent,17,Zone 18,0.0,0.0,,,
HG44,BLK 681-684 HOUGANG AVENUE 4/8,33899.488,39516.6851,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,103.88632970593174,1.3736487904344863,0.0012493520969509104,1244,Excellent,17,Zone 18,0.0,0.0,,,
HG45,BLK 685-691 HOUGANG STREET 61,33877.2539,39766.0352,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.88612996620292,1.3759038270817985,0.004807294997237871,1247,Excellent,17,Zone 18,0.0,0.0,,,
HG46,BLK 692-698 HOUGANG STREET 61,33969.957,39760.9531,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.88696296949873,1.3758578477105823,0.006285606757923227,1212,Excellent,17,Zone 18,0.0,0.0,,,
