car_park_no,address,x_coord,y_coord,longitude,latitude,nearest_charger_distance_m,high_gap_area
AR7L,12 TO 14 DOVER CLOSE EAST,22688.3753,32015.1518,103.7855911365702,1.305807720561871,123.26850154315034,False
AR7M,BLK 12A DOVER CLOSE EAST,22643.9533,31900.5591,103.78519200383877,1.3047713772680545,0.0025589714794858366,False
AR9,BLK 20/22/23 DOVER CRESCENT,22448.9368,32178.436,103.78343964059528,1.3072843627095663,0.006118661272136764,False
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,24649.752,29778.7266,103.80321526415888,1.2855825549923126,0.006386386911847528,False
A1,BLK 215 ANG MO KIO STREET 22,28934.1777,38749.8516,103.84171281191207,1.3667143987756958,0.0013292060369086676,False
A10,BLK 201/202 ANG MO KIO STREET 22,29247.03,38962.0,103.8445240151766,1.3686329816140796,63.705554580601735,False
A100,BLK 650 ANG MO KIO STREET 61,29033.1895,39996.3712,103.842602544842,1.3779874731949442,0.00579895668149008,False
A101,BLK 651 ANG MO KIO AVENUE 9,28937.1415,40554.9338,103.84173950080415,1.3830389165845827,0.0018430514222388887,False
A102,BLK 246 ANG MO KIO STREET 21,28048.8332,38931.3681,103.83375737921092,1.368355983880076,104.10464240650403,False
A11,BLK 223/226/226A-226D ANG MO KIO STREET 22,28541.14,38785.36,103.8381810968511,1.3670355338571134,0.003774358581849928,False
A12,BLK 229/230 ANG MO KIO STREET 22,28605.489,38954.8,103.83875932066391,1.3685678874797558,0.002681869936027698,False
A13,BLK 232/233 ANG MO KIO STREET 22,28388.51,38892.03,103.83680961188561,1.3680002216512899,8.251191754272583,False
A15,BLK 226E-226H ANG MO KIO STREET 22,28790.02,38777.85,103.84041745596973,1.3669676105068467,0.005024584841403827,False
A2,BLK 206/207 ANG MO KIO STREET 22,29082.59,38697.07,103.84304639719952,1.3662370557741221,0.004918904626014745,False
A20,BLK 304/307/319 ANG MO KIO STREET 31,29684.7366,38554.0251,103.84845709182149,1.3649433806415425,0.002332685597082676,False
A21,BLK 325/326/301 ANG MO KIO STREET 31,29446.1477,38906.1139,103.8463132241709,1.3681275586189163,177.29085681744115,False
